Iteration, PSO,ECPPSO,ECPPSO_GA
1,78.6389,80.8333,91.3056
2,78.6389,80.8889,91.3333
3,78.6389,81.0000,91.6389
4,78.6389,81.9722,91.5556
5,78.6389,82.9445,91.6389
6,78.6389,83.1944,91.5556
7,78.6389,82.7500,91.5833
8,78.6389,82.1667,91.5556
9,78.6389,83.0278,91.6944
10,78.6389,83.3056,91.6667
11,78.6389,84.1944,91.7222
12,78.6389,84.8889,91.7222
13,78.6389,85.4444,91.8056
14,78.6389,84.8056,91.8056
15,78.6389,84.2222,91.7500
16,78.6389,84.6389,91.5833
17,78.6389,86.0833,91.7222
18,78.6389,86.0556,91.7500
19,78.6389,86.3056,91.7778
20,78.6389,86.8611,91.8611
21,78.6389,87.3333,91.8889
22,78.6389,86.9167,91.7500
23,78.6389,86.6667,91.9167
24,78.6389,87.1944,91.8333
25,78.6389,87.5556,91.9167
26,78.6389,87.5278,92.0556
27,78.6389,87.2222,92.0278
28,78.6389,87.4444,92.2222
29,78.6389,87.6667,92.2500
30,78.6389,88.0278,92.4444
31,78.6389,88.0556,92.6944
32,78.6389,87.9722,92.6944
33,78.6389,88.0278,92.6944
34,78.6389,87.9444,92.7778
35,78.6389,88.3611,93.0000
36,78.6389,88.8611,92.9444
37,78.6389,88.4167,92.9444
38,78.6389,87.8611,92.9444
39,78.6389,87.3889,92.9444
40,78.6389,87.3333,93.0556
41,78.6389,87.5000,93.1389
42,78.6389,87.8889,93.1667
43,78.6389,88.2778,93.2222
44,78.6389,88.0000,93.1389
45,78.6389,87.8056,93.1944
46,78.6389,88.1111,93.2222
47,78.6389,88.1111,93.2778
48,78.6389,87.6111,93.1667
49,78.6389,87.2500,93.1667
50,78.6389,87.4722,93.2222
51,78.6389,87.4167,93.2222
52,78.6389,87.6111,93.2222
53,78.6389,88.2778,93.2500
54,78.6389,88.3056,93.3333
55,78.6389,88.0833,93.4444
56,78.6389,88.0278,93.4167
57,78.6389,88.3889,93.3889
58,78.6389,88.0278,93.4722
59,78.6389,87.6111,93.4722
60,78.6389,87.6667,93.4444
61,78.6389,87.6667,93.4722
62,78.6389,88.1944,93.4722
63,78.6389,88.6945,93.3889
64,78.6389,88.8333,93.4722
65,78.6389,88.1111,93.5000
66,78.6389,88.0556,93.5278
67,79.2222,87.9722,93.5000
68,79.5000,88.3889,93.5000
69,79.5000,88.2778,93.5000
70,79.5000,88.0556,93.5000
71,79.5000,88.0833,93.5833
72,79.5000,88.3889,93.5833
73,79.5000,88.6111,93.5833
74,79.5000,88.6389,93.5833
75,79.5000,88.6111,93.5833
76,79.5000,88.6945,93.5833
77,79.5000,89.0278,93.5833
78,79.5000,89.0278,93.5556
79,79.5000,88.8056,93.5833
80,79.5556,88.3056,93.5278
81,79.5556,87.8056,93.5833
82,79.5556,87.4722,93.5833
83,79.6389,87.9444,93.5833
84,79.7222,88.3889,93.5833
85,79.7222,88.3056,93.5833
86,79.7222,88.0556,93.6389
87,79.7222,87.6944,93.5833
88,79.7222,87.3889,93.5833
89,79.7222,87.2778,93.5833
90,79.7222,87.2222,93.6389
91,79.7222,87.1667,93.5833
92,79.7222,87.0556,93.5833
93,79.7222,86.3889,93.5833
