Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
85,81.6875,62.4531,64.1563,71.8750,79.1094,77.3281,76.4688
86,81.6875,61.9531,65.5625,70.1250,79.4375,77.2500,75.4375
87,81.7500,62.0625,64.7344,71.6563,78.9844,77.3125,76.2656
88,81.7500,62.5938,66.1719,71.3125,78.7813,77.2500,75.6719
89,81.9688,62.4688,66.9375,70.2500,79.3281,77.0156,75.8906
90,81.9688,62.3281,64.9219,69.8750,79.2656,77.3438,76.7656
91,81.9688,62.1250,62.8594,73.1875,79.9531,77.3438,76.5625
92,82.0781,62.1719,61.8594,70.4844,79.0156,77.3438,75.7656
93,82.0781,62.1563,65.3125,70.9688,79.2813,77.3906,76.1563
94,82.0781,62.3125,65.2188,71.2344,79.8281,77.6406,77.2500
95,82.1563,62.1250,63.9375,69.2500,78.1406,77.5156,76.4219
96,82.5938,62.1094,64.6875,71.2031,79.1094,77.5781,75.8438
97,82.5938,62.3906,66.5625,71.3125,78.7031,77.8281,74.7031
98,82.5938,62.4844,66.5000,73.8594,78.0938,77.8125,75.5469
99,82.9844,62.4219,65.1094,69.8906,78.4844,77.4219,75.6563
100,82.9844,62.7188,64.6875,70.4844,78.6094,77.6094,76.3125
101,82.9844,62.4219,64.0938,71.0781,79.3906,77.6875,76.5625
102,82.9844,62.8281,64.1875,71.1563,79.0000,77.5625,76.8125
103,82.9844,62.4219,64.2344,73.0625,79.1719,77.5156,76.7500
104,82.9844,62.3906,64.9844,70.5469,78.9844,77.8906,76.9531
105,83.0313,62.5000,65.0625,71.8438,79.2344,77.7813,77.7188
106,83.1875,62.0000,64.9375,71.0625,79.7656,77.6563,77.3438
107,83.1875,62.4844,64.8594,72.0313,79.5000,77.9688,77.6250
108,83.2344,62.2500,63.8281,72.4219,79.4688,77.7188,76.2500
109,83.2344,62.5469,62.8281,71.0938,79.1875,77.8594,76.0156
110,83.3125,62.9531,62.5938,71.1563,79.0313,78.3125,76.4688
111,83.3125,62.5938,64.4688,70.9844,80.0000,77.9219,75.4063
112,83.4375,62.3125,65.2344,70.7656,79.8125,78.1875,76.2031
113,83.4688,62.5781,66.1719,70.3438,79.6875,78.1563,76.4688
114,83.5156,62.2188,66.0000,73.5313,79.6094,78.1094,76.4531
115,84.0781,62.4063,63.8906,70.1250,80.5625,78.3594,77.8281
116,84.1094,62.4219,62.6563,72.4219,79.7813,78.5469,77.8438
117,84.1094,62.3281,61.8906,70.5625,79.5625,78.2031,77.0625
118,84.1094,61.9219,61.3281,73.0156,79.3750,78.3594,76.7813
119,84.1094,62.1094,60.2656,70.5156,78.5000,78.5156,77.0625
120,84.1094,62.4219,63.8594,70.6563,79.7344,78.3906,77.2031
121,84.1094,62.1406,62.6406,71.8125,79.7188,78.6250,77.8438
122,84.1094,62.4375,60.3594,71.4063,79.8438,78.5313,77.9531
123,84.1094,62.3438,60.2344,68.7813,80.7500,78.5938,76.4844
124,84.1406,62.2656,63.1563,71.0625,79.8281,78.3594,76.9688
125,84.1406,62.2656,63.7344,71.9063,79.9844,78.3750,76.0313
126,84.1406,62.2813,63.6406,70.6406,80.1875,78.5781,76.8750
127,84.1563,62.1406,63.3438,71.6406,79.4844,78.7500,76.9531
128,84.2656,62.3125,62.3281,73.2344,79.7188,78.3906,76.5625
