Iteration, PSO,ECPPSO,ECPPSO_GA
191,69.0408,67.6327,92.2245
192,69.5102,67.0612,91.9388
193,69.4694,66.7755,92.1224
194,69.6735,67.3878,91.8571
195,69.6531,68.7755,91.6939
196,69.2857,68.7755,91.7959
197,69.1225,67.9796,92.3061
198,69.3061,68.2449,91.6735
199,69.4082,69.2041,91.6531
200,69.7755,69.6327,92.102
201,69.8163,67.1224,92.3265
202,69.4286,68.8163,91.7347
203,69.4082,68.6123,91.5306
204,69.4286,69.8163,91.7347
205,69.5102,69.2653,92.4898
206,69.1429,69.6735,91.8367
207,68.8572,69.4694,92.2245
208,69.449,67.898,92.7347
209,69.3878,68.9184,92.6735
210,69.2857,69.8776,92.5714
211,69.4082,70.9592,92.6327
212,69.6531,69.9184,92.551
213,69.4082,68.8367,91.8571
214,69.9184,68.551,92.8571
215,69.6735,70.102,92.898
216,69.0204,68.898,92.5714
217,69.449,70.5714,92.5306
218,68.8163,69.551,92.7143
219,69.4898,71.2857,92.8571
220,68.9796,70.3061,92.7347
221,68.6735,69.9388,92.9184
222,69,70.1429,92.8367
223,69.0408,69.7143,92.7143
224,69.2245,69.5714,92.9592
225,69.6327,68.8572,93.102
226,69.2857,69,92.7959
227,68.7755,69.9388,92.8367
228,68.9184,70.2857,92.7551
229,68.6327,69.2041,92.3469
230,69.0816,70.1837,92.8571
231,69.4082,71.9388,92.8776
232,69.1633,70.6531,92.8571
233,69.6735,69.8776,93.0816
234,69.4694,69.7347,93.1429
235,69.6939,70.7959,92.898
236,68.8776,72.9184,93.2857
237,69.4898,69.2449,93.102
238,69.3265,69.6939,93.2449
239,69.4694,68.6123,93.102
240,69.3265,70.6531,93.1633
241,69.7959,69.9388,93.2857
242,69.3674,69.7755,93.0816
243,69.5918,70.2857,93.5714
244,68.9388,70.4286,93.4286
245,69.1633,70.0408,93.1837
246,69.1429,70.7143,93.0816
247,69.4286,70.9184,93.1429
248,69.7347,70.5102,93.0816
249,69.5918,70.9184,93.3061
250,69.7347,69.449,93.3061
251,69.6122,70.3061,93.4694
252,69.6939,69.6327,93.3878
253,69.1225,69.8367,93.2653
254,69.4898,69.7755,93.5714
255,69.4694,70.0612,93.1429
256,69.2857,68.6123,93.5306
257,69.7347,70.0408,93.4082
258,69.3061,70.4694,93.551
259,69.1429,72,93.6123
260,69.1633,69.5918,93.7347
261,69.3878,70.2041,93.4898
262,70.102,70.0612,93.4286
263,69.4286,68.6327,93.6531
264,69.5306,68.7959,93.6531
265,69.2653,67.7347,93.5306
266,69.7551,68.8776,93.7551
267,69.8572,69.5102,93.6123
268,69.551,69.4286,93.1429
269,69.8163,68.6735,93.7143
270,69.2653,69.3674,93.6327
271,69.7551,68.4694,92.9388
272,69.4694,69.4694,93.5918
273,69.7959,68.2857,93.8163
274,69.2857,69.8572,93.1429
275,69.4898,70.3265,93.449
276,69.551,69.3061,93.7347
