Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,,745.3795,34.0958,,33.6514,,
2,,25.6751,23.5586,,36.7909,,
3,,12.3932,29.7527,,31.4503,,
4,,12.0585,28.8496,,35.8524,,
5,,12.1481,28.9412,,31.7707,,
6,,12.1217,26.6514,,31.4674,,
7,,15.7921,28.0600,,37.7388,,
8,,12.7568,25.3830,,33.1669,,
9,,12.3525,23.7045,,34.4734,,
10,,12.7015,23.3307,,35.6102,,
11,,12.2445,26.3424,,30.6969,,
12,,12.2645,23.6778,,30.4508,,
13,,16.6242,29.8224,,33.8306,,
14,,12.3806,25.6205,,30.2506,,
15,,11.9762,27.3447,,32.5470,,
16,,12.0258,24.1070,,34.1969,,
17,,12.1617,25.0263,,29.3675,,
18,,12.7702,26.1135,,28.9688,,
19,,12.3167,24.7040,,34.0977,,
20,,14.8644,22.0509,,29.3045,,
21,,12.1098,24.5771,,28.4710,,
22,,12.0697,28.7056,,41.5859,,
23,,11.9133,63.8323,,51.6281,,
24,,12.2652,21.6475,,30.1800,,
25,,13.0944,22.0623,,31.3911,,
26,,14.7796,21.5550,,31.0936,,
27,,12.0411,25.7587,,33.4492,,
28,,12.1722,25.0664,,31.8489,,
29,,11.9462,22.4266,,31.1852,,
30,,11.9672,23.8199,,31.8832,,
31,,12.0840,26.4502,,32.5298,,
32,,14.8931,23.4776,,33.5407,,
33,,11.9052,24.8241,,32.5699,,
34,,12.4803,24.8718,,32.2151,,
35,,12.1198,26.2852,,30.8895,,
36,,12.0788,23.8991,,32.1598,,
37,,12.9795,22.7203,,33.2947,,
38,,14.7901,25.6252,,32.1388,,
39,,12.3501,29.8643,,29.4018,,
40,,12.5485,27.6928,,30.5882,,
41,,11.9224,24.7383,,29.9492,,
42,,12.0416,24.8470,,29.9931,,
43,,12.1446,27.4878,,30.8971,,
44,,12.4035,22.7461,,31.0001,,
45,,15.6236,23.7055,,30.4298,,
46,,14.3528,24.9767,,29.9397,,
47,,15.2283,29.1300,,31.0803,,
48,,17.1738,26.0582,,29.3922,,
49,,13.7692,24.6410,,30.1380,,
50,,16.0408,23.7961,,29.2587,,
51,,12.7907,26.8440,,29.3789,,
52,,12.7311,22.7442,,30.7617,,
53,,12.6901,25.7025,,29.9988,,
54,,13.5112,24.4923,,29.6536,,
55,,12.4660,26.8908,,30.0102,,
56,,15.0485,22.9740,,29.3598,,
57,,12.1832,23.5014,,30.0198,,
58,,12.2657,25.6701,,30.3555,,
59,,13.0281,24.7774,,37.5443,,
60,,12.8150,27.8826,,52.9594,,
61,,13.3400,42.8982,,31.3263,,
62,,17.6210,25.5623,,32.8026,,
63,,19.4216,22.8872,,33.1135,,
64,,14.4091,21.8248,,31.8146,,
65,,13.5036,24.7927,,30.5557,,
66,,13.5794,26.9804,,30.7636,,
67,,13.5465,23.3603,,31.2233,,
68,,15.1615,23.0255,,30.7446,,
69,,12.1822,21.8964,,31.0211,,
70,,13.0973,24.4923,,29.9759,,
71,,12.2523,21.7209,,29.3350,,
72,,12.0282,21.7028,,30.2277,,
73,,12.0034,22.2330,,28.9841,,
74,,15.0204,26.2547,,30.8609,,
75,,12.3015,26.1488,,30.6702,,
76,,12.3715,26.1431,,29.4037,,
77,,12.4073,24.1880,,28.6713,,
78,,12.3301,25.5251,,29.3121,,
79,,12.4269,22.5287,,28.9993,,
80,,12.5618,22.0366,,28.7094,,
81,,12.0797,24.4970,,29.2854,,
82,,12.1694,26.1869,,29.2702,,
83,,12.0602,24.0746,,29.0985,,
84,,12.3682,23.9430,,30.6664,,
85,,12.7864,28.2288,,28.8925,,
86,,12.2995,27.7882,,28.4729,,
87,,15.4314,24.1108,,30.2429,,
88,,12.1779,24.7526,,28.5149,,
89,,13.2718,22.6736,,29.4647,,
90,,11.9596,26.3090,,30.0217,,
91,,12.2042,23.7675,,29.9034,,
92,,12.2209,22.5134,,30.0026,,
93,,15.1787,21.6112,,31.3797,,
94,,12.3138,24.5247,,31.6391,,
95,,12.5260,22.8462,,30.8571,,
96,,12.7640,23.4842,,31.0249,,
97,,12.4326,22.8491,,36.9530,,
98,,12.8889,31.9920,,47.4396,,
99,,15.3222,39.9876,,30.8723,,
100,,13.3257,23.3631,,30.6931,,
101,,12.2933,27.1111,,30.2506,,
102,,12.5494,23.3650,,30.3688,,
103,,12.3568,21.5950,,28.7590,,
104,,12.3000,21.4233,,29.3808,,
105,,13.0100,24.0555,,30.2887,,
106,,17.8886,22.6116,,28.9612,,
107,,14.6017,23.7541,,29.8882,,
108,,15.3670,22.2168,,30.8723,,
109,,14.4835,26.6209,,29.2397,,
110,,13.5121,23.0656,,30.0598,,
111,,13.0420,25.7149,,28.7705,,
112,,15.8153,28.6560,,27.3705,,
113,,12.5036,29.0852,,27.4544,,
114,,12.7883,24.2500,,26.3977,,
115,,12.5189,22.1443,,26.1192,,
116,,12.7654,22.5792,,27.2827,,
117,,13.9861,26.2051,,25.6119,,
118,,15.2473,28.5816,,25.8293,,
119,,12.9247,25.3601,,26.6380,,
120,,12.6882,27.1416,,26.3138,,
121,,12.9190,32.3734,,25.6310,,
122,,13.4578,27.5669,,27.5040,,
123,,14.1563,26.4015,,26.8631,,
124,,18.2729,27.7214,,27.3209,,
125,,18.8823,22.6650,,28.2517,,
126,,13.5436,22.3484,,29.6555,,
127,,13.5665,21.7934,,29.5754,,
128,,13.6852,28.8105,,28.8162,,
129,,12.2533,23.4375,,28.8620,,
130,,15.1262,21.8048,,28.7323,,
131,,12.3515,22.6955,,28.4271,,
132,,12.2571,24.3187,,26.3062,,
133,,12.3668,22.1405,,26.1955,,
134,,12.0044,22.5754,,32.1426,,
135,,12.5041,21.4500,,40.7867,,
136,,15.2330,30.7045,,25.3067,,
137,,12.3258,37.9772,,27.2141,,
138,,12.2924,21.6370,,26.3863,,
139,,12.3520,25.0359,,26.0239,,
140,,12.8436,22.1520,,25.9476,,
141,,12.2156,23.6569,,26.5427,,
142,,15.8458,22.2702,,26.5579,,
143,,12.2809,25.8465,,25.8484,,
144,,12.4207,24.7383,,25.2571,,
145,,12.5589,21.9917,,26.8555,,
146,,12.3906,24.0898,,26.5770,,
147,,12.3897,29.6154,,26.1040,,
148,,15.2717,26.0048,,26.6075,,
149,,12.3015,24.1299,,27.1339,,
150,,12.4283,23.6797,,26.3557,,
151,,12.6391,25.6043,,25.8713,,
152,,17.0784,24.2729,,28.4882,,
153,,12.8360,23.3402,,26.8745,,
154,,15.2402,25.1751,,24.7421,,
155,,12.2051,34.2808,,23.1094,,
156,,12.1565,25.5985,,22.9416,,
157,,12.2366,23.9124,,23.0827,,
158,,12.3930,23.2487,,23.6626,,
159,,12.4254,24.8604,,25.9857,,
160,,12.5108,27.1721,,28.8124,,
161,,19.6714,21.9879,,31.9252,,
162,,12.6591,22.9111,,29.2587,,
163,,12.5136,26.2127,,28.9192,,
164,,12.5041,23.0942,,28.7018,,
165,,12.0902,22.3293,,29.0947,,
166,,12.9991,21.8792,,27.9198,,
167,,16.8748,24.9500,,28.7132,,
168,,14.0238,21.6484,,29.4190,,
169,,16.3565,23.7255,,29.2015,,
170,,14.7910,22.1233,,29.6211,,
171,,13.9213,25.0950,,30.0903,,
172,,16.1567,21.9688,,38.5895,,
173,,12.5313,22.2797,,43.6745,,
174,,13.7587,28.1200,,29.3846,,
175,,12.1121,38.5494,,28.7666,,
176,,12.2538,21.6866,,29.7241,,
177,,12.3153,21.6885,,28.4462,,
178,,15.2249,21.4481,,28.9002,,
179,,12.1861,24.8299,,28.4920,,
180,,13.8593,22.9664,,29.9683,,
181,,12.5651,23.5901,,29.1710,,
182,,13.0763,23.1533,,28.1906,,
183,,13.6094,28.2383,,28.8963,,
184,,17.7341,26.4435,,29.6326,,
185,,14.9107,27.7882,,30.6320,,
186,,15.9593,26.2795,,30.2086,,
187,,18.8942,26.5484,,27.9923,,
188,,13.4611,23.0408,,29.1596,,
189,,12.8775,22.9607,,29.6707,,
190,,15.8873,24.4064,,28.9421,,
191,,12.7816,27.8244,,31.3492,,
192,,16.7985,26.1383,,32.1465,,
193,,15.0404,25.6653,,31.4865,,
194,,13.5994,24.2310,,31.3377,,
195,,16.4647,25.9457,,29.0299,,
196,,14.6837,23.2868,,30.4337,,
197,,13.8660,21.2746,,30.1857,,
198,,12.1250,27.3933,,28.2898,,
199,,12.4092,26.0029,,28.8048,,
200,,13.6395,22.2683,,28.5759,,
201,,16.4070,21.8678,,28.8200,,
202,,13.7682,21.8315,,28.6217,,
203,,13.3662,24.5686,,29.6326,,
204,,13.6409,23.1514,,28.8925,,
205,,13.7501,23.0923,,27.3171,,
206,,13.4544,23.2868,,24.9138,,
207,,17.1404,25.6023,,25.3754,,
208,,13.4916,23.3803,,26.2032,,
209,,13.4778,23.1762,,33.3748,,
210,,14.0319,25.5508,,41.8816,,
211,,13.9551,24.2443,,31.2767,,
212,,12.2423,29.4819,,32.6233,,
213,,15.0518,42.1028,,32.5317,,
214,,12.2538,23.0141,,1094.6960,,
215,,12.2833,24.2291,,23.1133,,
216,,12.5299,23.6645,,22.9874,,
217,,12.2552,25.3410,,22.7928,,
218,,12.5284,22.5754,,37.3192,,
219,,12.4416,25.0721,,23.2506,,
220,,15.1167,26.3405,,22.9645,,
221,,12.2752,30.1781,,23.4642,,
222,,12.5527,23.6454,,24.8070,,
223,,13.4468,22.6002,,24.5132,,
224,,14.3552,22.3084,,23.8190,,
225,,14.5474,26.6972,,23.4032,,
226,,19.0458,24.3893,,23.6740,,
227,,16.6206,24.5075,,23.9716,,
228,,16.1324,26.4778,,23.4833,,
229,,16.5525,23.0942,,22.9034,,
230,,14.2708,22.7585,,24.3607,,
231,,17.4022,21.9345,,24.5934,,
232,,13.8855,27.1587,,24.5209,,
233,,13.4478,22.6402,,24.4980,,
234,,12.5456,27.5841,,24.8833,,
235,,17.7379,22.3560,,26.2222,,
236,,13.1025,25.2171,,23.2887,,
237,,16.3417,22.2359,,24.0402,,
238,,13.9132,22.3732,,25.2647,,
239,,14.7734,22.0509,,23.7656,,
240,,16.1905,24.5228,,24.2691,,
241,,15.9626,21.7114,,24.2424,,
242,,17.8232,21.9345,,23.6321,,
243,,13.7987,21.8964,,24.5171,,
244,,13.3362,24.5247,,23.8228,,
245,,13.0158,21.9498,,23.4642,,
246,,12.7449,23.5214,,28.9574,,
247,,12.7544,22.2244,,41.0347,,
248,,15.2826,27.1683,,23.5176,,
249,,12.9671,24.5667,,23.3498,,
250,,12.2185,46.3791,,22.6440,,
251,,12.5208,51.9428,,23.2964,,
252,,12.4416,49.4652,,24.2996,,
253,,12.2795,55.0175,,24.0402,,
254,,15.2063,51.8856,,25.2914,,
255,,12.2948,52.5188,,25.4059,,
256,,12.8098,51.7864,,25.4250,,
257,,12.3406,55.9902,,23.8495,,
258,,12.4912,70.3392,,22.8958,,
259,,12.6438,37.4928,,25.5356,,
260,,18.3468,28.1448,,27.3972,,
261,,12.7316,26.5522,,27.9846,,
262,,13.5231,25.6615,,29.4991,,
263,,12.3158,27.9007,,28.4538,,
264,,12.3806,26.6552,,27.7023,,
265,,13.5212,24.8871,,25.7683,,
266,,15.2159,27.9408,,25.3372,,
267,,12.5570,24.2500,,25.0511,,
268,,13.5860,23.7732,,23.9563,,
269,,13.3200,24.4465,,23.6321,,
270,,12.2004,28.2936,,24.7307,,
271,,12.5885,24.6277,,23.6435,,
272,,15.6574,23.7827,,22.6669,,
273,,12.7783,24.1356,,24.4331,,
274,,13.8302,25.2285,,22.7509,,
275,,13.6042,26.5465,,22.8844,,
276,,12.5237,27.9503,,23.0789,,
277,,12.4521,31.3892,,22.9111,,
278,,16.2058,27.5822,,24.9062,,
279,,21.5139,25.2743,,25.6653,,
280,,15.5926,28.7285,,24.2195,,
281,,15.8243,27.6527,,23.0408,,
282,,21.3070,26.1822,,24.0326,,
283,,17.4341,24.3092,,23.8571,,
284,,18.5127,24.0765,,31.8375,,
285,,14.0038,22.8996,,40.0848,,
286,,15.0271,23.3936,,25.9552,,
287,,17.0260,29.0299,,25.5394,,
288,,13.7491,25.6748,,27.0081,,
289,,12.3110,25.3067,,27.9121,,
290,,12.3558,23.6054,,26.8822,,
291,,15.1348,25.7244,,25.7645,,
292,,12.6686,22.8901,,25.3639,,
293,,19.9614,24.1566,,25.7797,,
294,,13.5498,22.3751,,26.6533,,
295,,14.6008,25.0568,,26.7944,,
296,,15.8930,29.9320,,27.0157,,
297,,15.9130,35.8372,,31.8680,,
298,,19.4063,24.0917,,31.8985,,
299,,15.4352,21.5092,,31.3606,,
300,,15.1014,23.3994,,29.0451,,
301,,13.0415,23.2410,,27.2980,,
302,,12.2042,25.9132,,26.7220,,
303,,12.7840,22.7585,,26.0468,,
304,,15.6078,22.9931,,24.8871,,
305,,12.3901,23.3975,,25.7340,,
306,,12.7487,24.9806,,25.2342,,
307,,12.2347,22.3312,,26.0277,,
308,,12.4340,23.0885,,28.4767,,
309,,12.5980,22.5735,,28.9307,,
310,,15.0394,26.0735,,29.5487,,
311,,12.1756,23.2430,,28.1410,,
312,,12.4521,23.0618,,24.8375,,
313,,12.8145,21.8830,,24.5934,,
314,,12.4092,25.2209,,25.1160,,
315,,14.9765,23.0217,,24.4522,,
316,,15.9931,24.3931,,23.1590,,
317,,13.3600,25.8255,,24.2767,,
318,,13.8741,30.2105,,24.3416,,
319,,13.5603,24.1871,,23.7579,,
320,,14.8783,23.3574,,24.1852,,
321,,12.2242,23.4470,,23.8571,,
322,,18.4326,27.9312,,31.5704,,
323,,13.3476,24.2424,,39.3295,,
324,,13.8607,24.1890,,23.8152,,
325,,13.8054,24.7593,,23.3917,,
326,,13.8178,26.4282,,24.4484,,
327,,17.9586,22.6002,,23.7656,,
328,,16.3670,22.9378,,23.5405,,
329,,14.0982,22.6059,,22.6173,,
330,,13.5126,25.9953,,25.0282,,
331,,13.4621,22.1195,,27.0424,,
332,,14.6475,22.4533,,29.8462,,
333,,12.2471,21.7648,,30.6435,,
334,,16.6740,30.7865,,27.8130,,
335,,18.0874,35.6274,,28.2898,,
336,,15.6374,21.4005,,26.4740,,
337,,12.6066,21.8544,,24.2424,,
338,,14.6217,21.9288,,24.1280,,
339,,18.2123,23.2658,,24.7879,,
340,,16.0332,22.3961,,23.6092,,
341,,17.4484,25.3544,,23.0751,,
342,,19.4445,22.8901,,22.5601,,
343,,13.8941,22.6784,,23.4451,,
344,,18.4317,23.2716,,25.1808,,
345,,13.4382,26.3252,,24.0135,,
346,,13.4525,23.7160,,23.8571,,
347,,14.6341,23.8857,,24.8489,,
348,,13.0806,25.3944,,23.1056,,
349,,14.5083,23.4604,,23.7351,,
350,,15.6145,24.1585,,24.4675,,
351,,12.8679,25.1637,,25.6043,,
352,,14.9078,27.9579,,24.0021,,
353,,14.4873,26.3042,,24.9901,,
354,,14.8001,27.7500,,24.1509,,
355,,14.5435,27.3209,,23.9372,,
356,,17.2186,23.9105,,23.3231,,
357,,13.4678,24.8566,,24.1509,,
358,,12.6000,25.2781,,25.1617,,
359,,12.2404,28.8334,,23.7579,,
360,,12.0087,25.1923,,30.9105,,
361,,12.2309,23.9887,,38.4064,,
362,,15.5296,23.4394,,23.0560,,
363,,12.3673,26.8288,,22.6555,,
364,,12.3978,23.1113,,22.5716,,
365,,13.0758,22.0356,,23.9525,,
366,,12.4788,21.7667,,23.9220,,
367,,11.9419,25.9457,,25.1122,,
368,,15.0509,23.7370,,26.3443,,
369,,12.2948,22.0375,,28.0457,,
370,,12.7955,21.7991,,29.0794,,
371,,12.1059,24.4637,,26.8974,,
372,,12.3339,28.3985,,26.0010,,
373,,12.4483,35.8620,,24.8795,,
374,,16.6493,25.0664,,23.7885,,
375,,12.7335,22.4686,,22.7509,,
376,,14.6256,23.5977,,22.4457,,
377,,13.7577,23.0980,,22.3808,,
378,,14.5283,24.8222,,23.6626,,
379,,13.5927,22.3198,,24.6468,,
380,,17.1986,22.2397,,23.9525,,
381,,13.3944,22.4781,,23.4299,,
382,,13.4316,27.3266,,24.3683,,
383,,13.5889,23.3269,,23.0103,,
384,,14.2489,23.5539,,22.9683,,
385,,13.2361,23.0236,,23.2735,,
386,,15.3923,25.3220,,23.6168,,
387,,12.3272,23.2487,,25.3182,,
388,,12.2681,23.2067,,25.1885,,
389,,12.4044,24.6601,,24.9176,,
390,,12.3291,31.9824,,24.6887,,
391,,12.7134,26.8364,,23.6626,,
