Iteration,ECPPSO,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
144,84.6800,97.5200,96.6800,99.4800
145,84.6800,97.6000,96.6800,99.4800
146,84.6800,97.6000,96.6800,99.4800
147,84.6800,97.6000,96.6800,99.4800
148,84.6800,97.6000,96.7200,99.4800
149,84.6800,97.6000,96.7200,99.4800
150,84.6800,97.6000,96.7200,99.4800
151,84.6800,97.6800,96.7200,99.4800
152,84.6800,97.6800,96.8000,99.4800
153,84.6800,97.6800,96.8000,99.5200
154,84.6800,97.7600,96.9200,99.5200
155,84.6800,97.7600,96.9200,99.5200
156,84.6800,97.7600,96.9200,99.5200
157,84.6800,97.8800,97.1600,99.5200
158,84.6800,97.9200,97.3200,99.5200
159,84.6800,97.9200,97.3200,99.5200
160,84.6800,97.9200,97.3200,99.5200
161,84.6800,97.9200,97.3200,99.5200
162,84.6800,97.9200,97.3200,99.5200
163,84.6800,97.9600,97.4000,99.5200
164,84.6800,98.0000,97.4000,99.5200
165,84.6800,98.0000,97.4400,99.5200
166,84.6800,98.0400,97.4400,99.5200
167,84.6800,98.0400,97.4800,99.5200
168,84.6800,98.0400,97.4800,99.5200
169,84.6800,98.2000,97.5200,99.5200
170,84.6800,98.2000,97.6000,99.5200
171,84.6800,98.2800,97.6800,99.5200
172,84.6800,98.2800,97.6800,99.5200
173,84.6800,98.2800,97.6800,99.5200
174,84.6800,98.2800,97.6800,99.5600
175,84.6800,98.2800,97.6800,99.6000
176,84.6800,98.2800,97.7200,99.6000
177,84.6800,98.4400,97.7200,99.6000
178,84.6800,98.4400,97.7200,99.6000
179,84.6800,98.4400,97.7200,99.6000
180,84.6800,98.4400,97.8800,99.6000
181,84.6800,98.4400,97.8800,99.6000
182,84.6800,98.4400,97.8800,99.6000
183,84.6800,98.4400,97.8800,99.6000
184,84.6800,98.4400,97.8800,99.6000
185,84.6800,98.4400,97.8800,99.6000
186,84.6800,98.4400,97.8800,99.6000
187,84.6800,98.4400,97.8800,99.6000
188,84.6800,98.4400,97.8800,99.6000
189,84.6800,98.4400,97.8800,99.6000
190,84.6800,98.4400,98.0000,99.6000
191,84.6800,98.4400,98.0000,99.6000
192,84.6800,98.4400,98.0000,99.6000
193,84.6800,98.4800,98.0000,99.6000
194,84.6800,98.4800,98.0000,99.6000
195,84.6800,98.4800,98.2000,99.6000
196,84.6800,98.4800,98.2000,99.6000
197,84.6800,98.4800,98.2400,99.6000
198,84.6800,98.5600,98.2400,99.6000
199,84.6800,98.5600,98.2400,99.6000
200,84.6800,98.5600,98.2400,99.6000
201,84.6800,98.5600,98.3200,99.6000
202,84.6800,98.5600,98.3200,99.6000
203,84.6800,98.6800,98.4000,99.6000
204,84.6800,98.7200,98.4000,99.6000
205,84.6800,98.7200,98.4000,99.6000
206,84.6800,98.7200,98.4000,99.6000
207,84.6800,98.7200,98.4400,99.6000
208,84.6800,98.7200,98.4400,99.6000
209,84.6800,98.7600,98.4400,99.6000
210,84.6800,98.7600,98.4400,99.6000
211,84.6800,98.7600,98.5200,99.6000
212,84.6800,98.7600,98.5200,99.6000
213,84.6800,98.8000,98.5600,99.6000
214,84.6800,98.8000,98.5600,99.6000
215,84.6800,98.8000,98.5600,99.6000
216,84.6800,98.8000,98.6000,99.6000
217,84.6800,98.8400,98.6400,99.6000
218,84.6800,98.8400,98.6800,99.6000
219,84.6800,98.8400,98.7200,99.6400
220,84.6800,98.8400,98.7200,99.6400
221,84.6800,98.8400,98.7200,99.6400
222,84.6800,98.8400,98.7200,99.6400
223,84.6800,98.8400,98.7200,99.6400
224,84.6800,98.8400,98.7200,99.6400
225,84.6800,98.8400,98.7200,99.6400
226,84.6800,98.8800,98.7200,99.6400
227,84.6800,98.8800,98.7600,99.6400
228,84.6800,98.9200,98.7600,99.6400
229,84.6800,98.9200,98.8000,99.6400
230,84.6800,98.9200,98.8800,99.6400
231,84.6800,98.9200,98.8800,99.6400
232,84.6800,98.9200,98.8800,99.6800
233,84.6800,98.9200,98.8800,99.6800
234,84.6800,98.9200,98.9600,99.6800
235,84.6800,98.9200,99.0000,99.6800
236,84.6800,98.9200,99.0000,99.6800
237,84.6800,98.9200,99.0400,99.6800
238,84.6800,98.9200,99.0400,99.6800
239,84.6800,98.9200,99.0400,99.6800
240,84.6800,98.9200,99.0400,99.6800
241,84.6800,98.9200,99.0400,99.6800
242,84.6800,98.9200,99.0400,99.6800
243,84.6800,98.9200,99.0400,99.6800
244,84.6800,98.9200,99.0400,99.6800
245,84.6800,98.9200,99.0800,99.6800
246,84.6800,98.9200,99.0800,99.6800
247,84.6800,98.9200,99.0800,99.6800
248,84.6800,98.9200,99.0800,99.6800
249,84.6800,98.9600,99.1200,99.6800
250,84.6800,98.9600,99.1200,99.6800
251,84.6800,98.9600,99.1200,99.6800
252,84.6800,98.9600,99.1200,99.6800
253,84.6800,98.9600,99.1200,99.6800
254,84.6800,98.9600,99.1600,99.6800
255,84.6800,98.9600,99.1600,99.6800
256,84.6800,98.9600,99.2000,99.6800
257,84.6800,98.9600,99.2000,99.6800
258,84.6800,98.9600,99.2000,99.6800
259,84.6800,98.9600,99.2400,99.6800
260,84.6800,98.9600,99.2800,99.6800
261,84.6800,98.9600,99.2800,99.6800
262,84.6800,98.9600,99.2800,99.6800
263,84.6800,98.9600,99.2800,99.6800
264,84.6800,98.9600,99.2800,99.6800
265,84.6800,98.9600,99.2800,99.6800
266,84.6800,98.9600,99.2800,99.6800
267,84.6800,98.9600,99.2800,99.6800
268,84.6800,98.9600,99.2800,99.6800
269,84.6800,98.9600,99.2800,99.6800
270,84.6800,98.9600,99.2800,99.6800
271,84.6800,98.9600,99.3200,99.6800
272,84.6800,98.9600,99.3200,99.6800
273,84.6800,99.0000,99.3200,99.6800
274,84.6800,99.0000,99.3200,99.6800
275,84.6800,99.0000,99.3600,99.6800
276,84.6800,99.0000,99.3600,99.6800
277,84.6800,99.0000,99.3600,99.6800
278,84.6800,99.0000,99.3600,99.6800
279,84.6800,99.0000,99.3600,99.6800
280,84.6800,99.0000,99.3600,99.6800
281,84.6800,99.0000,99.3600,99.6800
282,84.6800,99.0400,99.3600,99.6800
283,84.6800,99.0400,99.3600,99.6800
284,84.6800,99.0400,99.3600,99.6800
285,84.6800,99.0400,99.3600,99.6800
286,84.6800,99.0400,99.4000,99.6800
287,84.6800,99.0400,99.4000,99.6800
288,84.6800,99.0800,99.4000,99.6800
289,84.6800,99.0800,99.4000,99.6800
290,84.6800,99.0800,99.4000,99.6800
291,84.6800,99.0800,99.4400,99.6800
292,84.6800,99.0800,99.4400,99.6800
293,84.6800,99.0800,99.4800,99.6800
294,84.6800,99.0800,99.4800,99.6800
295,84.6800,99.2000,99.4800,99.6800
296,84.6800,99.2000,99.4800,99.6800
297,84.6800,99.2000,99.4800,99.6800
298,84.6800,99.2000,99.4800,99.6800
299,84.6800,99.2000,99.5200,99.6800
300,84.6800,99.2400,99.5200,99.6800
301,84.6800,99.2400,99.5200,99.6800
302,84.6800,99.2400,99.5200,99.6800
303,84.6800,99.2400,99.5200,99.6800
304,84.6800,99.2400,99.5600,99.6800
305,84.6800,99.2400,99.5600,99.6800
306,84.6800,99.2400,99.5600,99.6800
307,84.6800,99.2400,99.5600,99.6800
308,84.6800,99.2400,99.5600,99.6800
309,84.6800,99.2800,99.5600,99.6800
310,84.6800,99.2800,99.5600,99.6800
311,84.6800,99.2800,99.5600,99.6800
312,84.6800,99.2800,99.5600,99.6800
313,84.6800,99.2800,99.6400,99.6800
314,84.6800,99.2800,99.6400,99.6800
315,84.6800,99.2800,99.6400,99.6800
316,84.6800,99.2800,99.6400,99.6800
317,84.6800,99.2800,99.6400,99.6800
318,84.6800,99.2800,99.6400,99.6800
319,84.6800,99.2800,99.6400,99.6800
320,84.6800,99.3200,99.6400,99.6800
321,84.6800,99.3200,99.6400,99.6800
322,84.6800,99.3200,99.6400,99.6800
323,84.6800,99.3200,99.6400,99.6800
324,84.6800,99.3600,99.6400,99.6800
325,84.6800,99.3600,99.6400,99.6800
326,84.6800,99.3600,99.6400,99.6800
327,84.6800,99.3600,99.6400,99.6800
328,84.6800,99.3600,99.6400,99.6800
329,84.6800,99.3600,99.6400,99.6800
330,84.6800,99.3600,99.6400,99.6800
331,84.6800,99.3600,99.6400,99.6800
332,84.6800,99.3600,99.6400,99.6800
333,84.6800,99.3600,99.6400,99.6800
334,84.6800,99.3600,99.6400,99.6800
335,84.6800,99.3600,99.6400,99.6800
336,84.6800,99.3600,99.6400,99.6800
337,84.6800,99.3600,99.6400,99.6800
338,84.6800,99.3600,99.6800,99.6800
339,84.6800,99.3600,99.6800,99.6800
340,84.6800,99.3600,99.6800,99.6800
341,84.6800,99.3600,99.6800,99.6800
342,84.6800,99.3600,99.6800,99.6800
343,84.6800,99.3600,99.6800,99.6800
344,84.6800,99.3600,99.6800,99.6800
345,84.6800,99.3600,99.6800,99.6800
346,84.6800,99.3600,99.6800,99.6800
347,84.6800,99.3600,99.6800,99.6800
348,84.6800,99.4800,99.6800,99.6800
349,84.6800,99.4800,99.6800,99.6800
350,84.6800,99.4800,99.6800,99.6800
351,84.6800,99.4800,99.6800,99.6800
352,84.6800,99.4800,99.6800,99.6800
353,84.6800,99.4800,99.7200,99.6800
354,84.6800,99.4800,99.7200,99.6800
355,84.6800,99.4800,99.7200,99.6800
356,84.6800,99.4800,99.7200,99.6800
357,84.6800,99.4800,99.7200,99.6800
358,84.6800,99.4800,99.7200,99.6800
359,84.6800,99.4800,99.7200,99.6800
360,84.6800,99.4800,99.7200,99.6800
361,84.6800,99.4800,99.7600,99.6800
362,84.6800,99.4800,99.7600,99.6800
363,84.6800,99.4800,99.7600,99.6800
364,84.6800,99.4800,99.7600,99.6800
365,84.6800,99.4800,99.7600,99.6800
366,84.6800,99.4800,99.7600,99.6800
367,84.6800,99.4800,99.7600,99.6800
368,84.6800,99.4800,99.7600,99.6800
369,84.6800,99.4800,99.7600,99.6800
370,84.6800,99.4800,99.7600,99.6800
