Iteration,GA,PSO,ECPPSO,PSO_GA,ECPPSO_GA,ECPPSO_SE_GA,ECPPSO_NEP_GA
1,618.8793,15.3179,28.1658,15.4076,23.0560,15.4648,23.7732
2,20.9296,13.2046,21.4634,16.6550,32.3563,20.6604,40.7333
3,10.8964,13.1617,25.4860,14.6294,57.8499,13.2141,49.3012
4,11.0703,14.1325,23.9067,18.6653,22.4533,13.1989,45.7764
5,11.2929,15.7080,19.9547,13.6452,21.5836,13.5117,46.0739
6,11.6358,12.2414,21.0266,13.1569,22.1977,13.8016,45.9061
7,11.4281,12.1298,19.8803,13.2713,21.8506,13.7177,45.9442
8,11.5888,12.1603,20.0977,12.9890,21.9460,13.0386,46.6843
9,11.2741,12.3425,20.1378,13.4811,22.9530,13.0768,47.8745
10,12.6915,12.7306,20.7176,13.1111,21.7857,13.0463,23.0408
11,11.3311,12.5341,21.3451,13.0501,22.4609,13.8626,22.1252
12,10.8819,12.7745,21.5378,13.0234,22.5220,13.7558,22.1863
13,11.2038,12.5217,19.6247,13.4735,22.1634,13.4659,22.3923
14,11.0440,14.0133,19.6667,13.2141,21.7590,13.9618,22.0795
15,11.0154,12.6610,19.4054,13.0653,21.8391,13.0081,22.5983
16,11.4803,12.4569,19.6514,13.7596,21.8315,13.3514,22.4075
17,11.1256,12.8021,19.4054,13.3972,21.9231,13.1378,22.6593
18,11.0989,12.8326,25.6653,13.2484,22.4114,13.4888,23.2468
19,11.1752,12.4674,50.2949,13.3820,22.7509,13.4735,22.2855
20,11.2305,12.5475,19.8898,13.2904,22.1329,14.6484,22.1710
21,11.3149,12.4512,20.0539,13.0463,22.7394,14.0457,21.8506
22,11.2929,12.6314,19.4702,13.2103,22.8882,13.2141,21.6599
23,11.3940,12.5456,20.3381,13.3209,22.1558,13.1378,23.0637
24,11.6000,12.8660,20.4125,13.1340,22.1977,13.4888,21.6446
25,11.3893,12.4712,20.1092,13.0768,22.8615,13.5040,21.7133
26,11.3535,12.6934,21.0552,12.8822,22.4800,13.8245,22.0642
27,11.1055,12.4254,19.8250,12.8059,22.1825,13.7558,21.4920
28,11.1337,12.2261,20.0558,13.6490,23.2048,14.1144,21.8506
29,11.1003,12.2414,19.9738,13.3896,23.7122,13.6566,23.3002
30,11.0230,12.1021,20.4296,13.3743,23.4261,13.7405,21.4768
31,11.1766,12.5208,19.7144,13.1226,22.7814,13.7329,22.2321
32,11.8060,12.2528,20.6413,13.5155,30.4794,14.9841,21.4615
33,13.0105,12.1222,19.8422,13.2790,45.3415,13.9771,21.8201
34,11.9567,12.2929,21.1830,12.9890,23.7541,14.3738,21.7209
35,11.9233,12.1794,20.6928,12.9547,23.3727,13.0158,21.5454
36,12.2223,12.1861,20.2656,13.0158,22.6059,13.1149,21.3699
