Iteration, PSO,ECPPSO,ECPPSO_GA
1,25.2800,25.7600,40.5200
2,25.7500,25.7400,46.7200
3,26.2600,25.5700,53.3500
4,27.7100,25.6900,58.0600
5,28.5500,25.8800,58.5800
6,28.8700,25.8400,59.8200
7,29.2500,27.4900,60.2000
8,29.5100,28.5400,61.1000
9,29.5100,28.7600,62.8500
10,30.3000,29.0500,62.7800
11,30.8600,29.7700,62.7200
12,30.8300,31.1900,63.4900
13,30.8700,32.6100,63.5200
14,31.6500,35.3500,63.5500
15,33.8300,38.1600,63.5400
16,35.7700,41.9700,63.6000
17,36.4200,45.1200,63.9200
18,36.6900,47.3600,64.4400
19,36.9000,49.7900,64.9300
20,38.3300,52.7400,65.1000
21,39.1500,55.4400,65.3000
22,40.2300,57.1500,65.2000
23,42.0100,58.3300,65.2600
24,42.7900,58.7900,65.6100
25,43.4600,59.5300,65.8500
26,44.2400,60.9900,66.2800
27,45.4100,62.5500,66.8000
28,46.3500,63.6500,66.8900
29,47.1200,65.0200,67.1300
30,47.7500,65.7500,67.4600
31,48.2200,66.2500,67.7700
32,48.5600,67.4000,67.8200
33,49.0300,67.8100,67.9700
34,49.3600,67.6800,68.1600
35,49.6400,67.8200,68.2400
36,49.9600,68.3200,68.4600
37,50.3500,68.7600,68.7500
38,50.8400,69.6200,68.6600
39,51.1900,70.0600,68.9700
40,51.5800,69.6900,69.1600
41,51.7600,69.6300,69.5700
42,51.9500,69.5600,69.7300
43,52.1400,70.2300,69.8000
44,52.2700,71.1300,70.0500
45,52.5100,72.0200,70.0800
46,52.5100,72.2900,70.2400
47,52.6400,72.6200,70.4500
48,52.7400,73.1800,70.6000
49,52.8100,74.1500,70.7600
50,53.1200,74.7200,70.9200
51,53.2700,74.8200,71.1000
52,53.5400,74.7800,71.1100
53,53.5400,75.1600,71.6000
54,53.6400,75.3700,71.4400
55,53.7800,75.2500,71.8000
56,53.9800,75.5200,72.1200
57,54.1900,75.6500,72.2200
58,54.4600,75.7300,72.5000
59,54.6200,75.5700,72.1900
60,54.7100,76.4100,72.4800
61,54.8200,77.0400,72.5400
62,55.0400,76.8100,72.5800
63,55.2900,76.5300,73.1800
64,55.4200,75.9500,73.2600
65,55.6400,75.6600,73.5400
66,55.8300,76.3600,73.9600
67,55.8300,76.1400,73.9300
68,55.9000,76.2100,73.9900
69,56.1900,76.3600,74.1000
70,56.2300,75.8100,74.1900
71,56.3700,75.6300,74.2800
72,56.4900,76.2700,74.3300
73,56.5300,76.6800,74.3000
74,56.5700,76.8300,74.7100
75,56.5700,76.8200,74.7700
76,56.6500,76.6700,74.9600
77,56.7000,76.8100,74.7800
78,56.8500,77.3000,75.2800
79,56.9100,77.4500,75.2700
80,57.0300,77.2100,75.5200
81,57.0800,76.9300,75.6700
82,57.0800,77.1800,76.0700
83,57.2000,77.6600,76.1100
84,57.3100,77.5700,76.0800
85,57.4400,77.1100,76.2900
86,57.5400,77.0400,76.6300
87,57.6500,77.1600,76.6000
88,57.9300,77.1100,76.5500
89,58.0200,77.2100,76.5700
90,58.0600,77.4200,76.7100
91,58.1400,77.2600,77.0600
92,58.2300,77.5800,77.1000
93,58.5900,77.8200,77.3400
94,58.7800,77.4400,77.4000
95,58.9500,77.2200,77.3800
96,59.2200,76.9400,77.4900
97,59.2200,76.5300,77.4700
98,59.2400,76.8600,77.9200
99,59.3600,77.2900,77.8400
100,59.6000,77.4500,77.9400
101,59.6000,77.2200,77.9600
102,59.7100,77.4400,78.1400
103,59.9300,77.2900,78.0700
104,60.0300,77.2000,78.1600
105,60.1200,77.4900,78.4300
106,60.4900,77.9800,78.4000
107,60.4900,78.1800,78.4200
108,60.4900,78.1300,78.5200
109,60.8100,78.0900,78.5900
110,60.8100,78.0300,78.7500
111,60.9300,77.7900,78.7800
112,60.9600,77.7300,78.9400
113,60.9600,77.9000,78.7800
114,60.9600,78.1100,79.0100
115,61.0700,78.2300,79.2300
116,61.0700,78.2200,79.2500
117,61.1000,78.1600,79.3000
118,61.2100,78.1600,79.3800
119,61.4300,78.5200,79.3800
120,61.5100,78.7900,79.4900
121,61.5300,78.7400,79.6100
122,61.6500,78.8700,79.6000
123,61.9100,78.8000,79.6000
124,61.9800,78.9500,79.6500
125,61.9800,78.8400,79.9100
126,61.9800,78.6400,79.9400
127,62.2000,78.7700,80.0100
128,62.2300,79.0500,80.0700
129,62.3500,79.1000,80.1600
